Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
1,84,169,26-May-23,8,188.56
2,137,301,23-Jan-23,10,216.6
3,216,261,27-May-24,6,85.5
4,433,343,25-Nov-23,7,301.21
5,14,431,26-Jul-23,7,136.36
6,439,119,11-Oct-24,5,249.4
7,195,467,23-Oct-23,6,82.92
8,32,159,07-May-24,4,144.84
9,109,407,04-Jan-24,9,379.71
10,94,122,09-Jul-24,4,123
11,131,206,16-Oct-23,1,38.01
12,454,3,17-Jun-24,2,31.5
13,420,180,08-Jun-23,5,125.45
14,454,319,24-Aug-23,2,85.22
15,127,479,10-Jan-23,6,229.62
16,412,196,06-Oct-23,8,53.52
17,462,481,20-Mar-23,5,52.75
18,377,101,07-Aug-24,4,193.96
19,496,60,17-Nov-23,9,316.26
20,195,67,14-Jul-23,1,10.23
21,356,287,05-Dec-24,3,120.57
22,177,427,10-Jun-24,3,54
23,119,301,04-Aug-23,3,64.98
24,266,192,10-Jul-23,3,145.11
25,265,250,25-May-23,10,126.5
26,294,407,11-Jun-23,1,42.19
27,310,156,03-Dec-24,1,31.68
28,151,423,27-Nov-24,8,205.04
29,305,446,05-Oct-23,8,275.92
30,438,248,23-Sep-23,6,281.94
31,386,279,12-Mar-24,8,244
32,292,313,06-Dec-24,4,188.64
33,478,253,15-Apr-24,5,58.3
34,463,146,27-Jun-24,3,43.5
35,303,172,08-Jul-23,5,184.1
36,417,260,21-Jan-24,9,446.31
37,110,411,27-Dec-23,4,60.12
38,15,466,26-Jun-23,4,148.68
39,488,422,03-Aug-24,8,367.28
40,120,450,03-Jul-24,2,91.5
41,418,147,05-May-24,8,361.6
42,415,70,19-Sep-23,3,70.35
43,199,305,25-Mar-24,7,221.62
44,234,460,24-Jul-24,5,179.4
45,470,67,16-Nov-24,4,40.92
46,319,442,08-Dec-23,1,48.48
47,6,360,23-Jul-24,3,148.02
48,458,477,25-Feb-24,5,138.55
49,322,336,14-Aug-24,7,168.56
50,474,88,06-Apr-24,1,40.22
51,155,491,01-Sep-24,5,74.35
52,173,161,20-May-24,7,151.2
53,160,242,02-Jan-24,3,101.37
54,446,393,01-Sep-24,3,132
55,18,281,11-Jan-24,7,114.38
56,76,333,06-Nov-24,5,138.8
57,24,34,02-Dec-24,2,32.98
58,329,369,02-Dec-24,7,158.55
59,225,188,11-Feb-23,7,140.98
60,404,49,26-Apr-23,9,445.5
61,405,361,02-Jul-24,5,198.75
62,364,324,06-Apr-24,5,230.4
63,16,469,13-Apr-24,9,209.25
64,348,160,19-Jul-24,10,344.8
65,54,198,06-May-23,9,201.42
66,180,323,08-Sep-23,8,286.64
67,260,129,20-Apr-23,9,366.66
68,246,319,21-Mar-23,10,426.1
69,261,109,23-Mar-24,4,34.16
70,49,447,29-May-23,6,217.5
71,500,438,11-Jun-24,8,267.12
72,290,5,19-Oct-24,1,10.95
73,411,81,07-Oct-23,1,44.19
74,461,132,08-Apr-23,10,204.6
75,291,375,30-Nov-23,5,170.75
76,470,466,02-Sep-24,10,371.7
77,497,242,20-Mar-24,7,236.53
78,44,196,23-Jul-24,5,33.45
79,134,28,06-Oct-23,2,75.02
80,265,17,04-Jun-23,8,42.96
81,383,325,13-Feb-24,5,202
82,413,387,08-Mar-23,5,237.1
83,457,335,16-Jan-24,8,378.32
84,280,49,05-Jul-24,6,297
